                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0828,                  4.832,                 3.1282,                 1.2642,                0.00945,                      1,                0.48856,                0.36701,                0.00945,                      1,                0.46716,                0.34867,                0.61396,                 1.2611,                 2.7317,                 1.1897,             0.00013336,             0.00013336,             0.00013336
                      2,                  0.497,                0.75133,                 2.3087,                0.96836,                0.00917,                      1,                0.91586,                0.84675,                0.00917,                      1,                0.92007,                 0.8306,                0.37572,                0.73987,                 2.3752,                0.88664,             0.00026469,             0.00026469,             0.00026469
                      3,                0.45379,                0.38949,                 1.7697,                0.90196,                0.98597,                0.54265,                0.96474,                0.89106,                0.98597,                0.54265,                0.96474,                0.83692,                 0.3786,                0.95864,                 2.2224,                0.87235,             0.00037621,             0.00037621,             0.00037621
                      4,                0.43304,                0.27718,                 1.5857,                0.90646,                 0.9547,                0.97755,                 0.9862,                 0.9126,                 0.9547,                0.97755,                 0.9862,                0.89694,                0.37206,                0.51831,                 1.4121,                0.85533,             0.00046793,             0.00046793,             0.00046793
                      5,                 0.4674,                0.32374,                 1.5767,                0.92032,                0.93901,                0.98912,                0.98773,                 0.8683,                0.93901,                0.98912,                0.98773,                0.86199,                0.42768,                 0.4491,                 1.5461,                0.95223,             0.00053984,             0.00053984,             0.00053984
                      6,                0.31711,                0.17251,                 1.9038,                0.84976,                0.93205,                  0.975,                0.98551,                0.88054,                0.93205,                  0.975,                0.98551,                0.90246,                0.45644,                0.57771,                 1.3717,                0.90782,             0.00059195,             0.00059195,             0.00059195
                      7,                0.35938,                0.19981,                   1.78,                 0.8704,                0.96573,                0.95681,                 0.9853,                0.94058,                0.96573,                0.95681,                 0.9853,                0.94115,                0.35141,                0.40852,                 1.5267,                0.82449,             0.00062426,             0.00062426,             0.00062426
                      8,                0.32481,                0.17018,                 1.8556,                0.85246,                0.94893,                0.98075,                0.98439,                0.90636,                0.94893,                0.98075,                0.98439,                0.90586,                0.38165,                 0.4772,                 1.2565,                0.86157,             0.00063676,             0.00063676,             0.00063676
                      9,                0.31797,                0.16574,                 1.7667,                0.83792,                0.95095,                 0.9907,                0.99116,                0.91412,                0.95095,                 0.9907,                0.99116,                0.92733,                0.41377,                0.55392,                0.92051,                0.86244,             0.00062946,             0.00062946,             0.00062946
                     10,                0.31374,                0.15697,                 1.6536,                0.84409,                0.98157,                      1,                0.99351,                0.92437,                0.98157,                      1,                0.99351,                0.91946,                0.40145,                0.55059,                0.88614,                0.86627,             0.00060235,             0.00060235,             0.00060235
                     11,                0.28485,                0.15828,                 1.6692,                0.83848,                0.98072,                      1,                0.99324,                0.94331,                0.98072,                      1,                0.99324,                0.94597,                 0.3326,                0.31765,                0.84647,                0.84817,             0.00055544,             0.00055544,             0.00055544
                     12,                0.29506,                0.15327,                 1.7685,                0.82449,                 0.9811,                      1,                0.99473,                 0.9455,                 0.9811,                      1,                0.99473,                0.94654,                0.32987,                0.30043,                0.80748,                 0.8315,             0.00045676,             0.00045676,             0.00045676
                     13,                0.27414,                0.14394,                 1.5646,                0.83116,                0.99784,                0.99707,                  0.995,                0.96313,                0.99784,                0.99707,                  0.995,                0.94616,                0.28882,                0.29496,                0.78078,                0.81831,             0.00034674,             0.00034674,             0.00034674
                     14,                0.24427,                0.15286,                 1.4832,                 0.8223,                0.99542,                0.99662,                  0.995,                0.96952,                0.99542,                0.99662,                  0.995,                0.96138,                 0.2592,                0.28091,                0.73563,                 0.8079,             0.00023671,             0.00023671,             0.00023671
                     15,                0.24154,                0.15119,                 1.5544,                0.82281,                0.99587,                0.99631,                  0.995,                0.98166,                0.99587,                0.99631,                  0.995,                0.96939,                0.24263,                0.26782,                 0.7131,                0.80455,             0.00012669,             0.00012669,             0.00012669
